year,week,publication_date,NOMBRE,variety,quality,size,sale_format,unit,price
2021,4,2021-01-29,maracuyá,maracuya,,,,kg,990
2021,4,2021-01-29,mora,mora,,,,kg,1735
2021,4,2021-01-29,naranja,naranja,,,,u,95
2021,4,2021-01-29,ñampí,nampi,,,,kg,650
2021,4,2021-01-29,papa amarilla,papa_amarilla,,,,kg,1350
2021,4,2021-01-29,papa blanca,papa_blanca,1,,,kg,1240
2021,4,2021-01-29,papa blanca,papa_blanca,2,,,kg,950
2021,4,2021-01-29,papaya,papaya,,,,kg,475
2021,4,2021-01-29,pepino,pepino,,,,kg,300
2021,4,2021-01-29,piña,pina,,G,,u,820
2021,4,2021-01-29,piña,pina,,M,,u,630
2021,4,2021-01-29,plátano,platano,,,,u,150
2021,4,2021-01-29,queso tipo turrialba,queso_tipo_turrialba,,,,kg,2100
2021,4,2021-01-29,remolacha,remolacha,,,,u,325
2021,4,2021-01-29,repollo verde,repollo_verde,,,,kg,325
2021,4,2021-01-29,sandía,sandia,,G,,kg,590
2021,4,2021-01-29,tiquisque lila,tiquisque_lila,,,,kg,700
2021,4,2021-01-29,tomate,tomate,1,,,kg,960
2021,4,2021-01-29,tomate,tomate,2,,,kg,670
2021,4,2021-01-29,vainica,vainica,,,,kg,650
2021,4,2021-01-29,yuca,yuca,,,corriente,kg,395
2021,4,2021-01-29,yuca,yuca,,,parafinada,kg,350
2021,4,2021-01-29,zanahoria,zanahoria,1,,,kg,485
2021,4,2021-01-29,zanahoria,zanahoria,2,,,kg,250
2021,4,2021-01-29,zapallo,zapallo,,,,u,460
2021,4,2021-01-29,dulce,dulce,,,,tapa,800
2021,5,2021-02-05,aguacate Hass,aguacate_hass,,,,kg,1545
2021,5,2021-02-05,apio verde,apio_verde,,,,mata,875
2021,5,2021-02-05,ayote sazón,ayote_sazon,,,,kg,515
2021,5,2021-02-05,ayote tierno,ayote_tierno,,,,u,560
2021,5,2021-02-05,banano criollo,banano_criollo,,,,u,40
2021,5,2021-02-05,brócoli,brocoli,,,,kg,1500
2021,5,2021-02-05,camote,camote,,,,kg,645
2021,5,2021-02-05,cebolla blanca,cebolla_blanca,1,,suelta,kg,1700
2021,5,2021-02-05,cebolla blanca,cebolla_blanca,2,,suelta,kg,1500
2021,5,2021-02-05,cebolla blanca,cebolla_blanca,,,trenza,kg,1700
2021,5,2021-02-05,coliflor,coliflor,,,,u,735
2021,5,2021-02-05,coco,coco,,,,u,385
2021,5,2021-02-05,culantro castilla,culantro_castilla,,,,rollo,75
2021,5,2021-02-05,chayote sazón blanco,chayote_sazon_blanco,,,,u,415
2021,5,2021-02-05,chayote tierno criollo,chayote_tierno_criollo,,,,u,385
2021,5,2021-02-05,chayote tierno quelite,chayote_tierno_quelite,,,,u,120
2021,5,2021-02-05,chile dulce,chile_dulce,1,,,u,260
2021,5,2021-02-05,chile dulce,chile_dulce,2,,,u,140
2021,5,2021-02-05,elote,elote,,,,u,120
2021,5,2021-02-05,fresa,fresa,,,,kg,2895
